ID;ID HTT;IP;MAC;Device;Root Device;LAN Port;VLAN;Local;Local (RU);ant_local;ant_name;Coordinat;Data Install;Data Update;Data Human;
1;device_0;192.168.0.1;MAC address not found;-;-;0;1;-;-;;;-;1751915198;1751966405;12-20 08-07-2025;
2;device_1;192.168.1.1;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966405;12-20 08-07-2025;
3;device_2;192.168.1.2;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966405;12-20 08-07-2025;
4;device_3;192.168.1.10;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966406;12-20 08-07-2025;
5;device_4;192.168.1.11;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966406;12-20 08-07-2025;
6;device_5;192.168.1.13;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966406;12-20 08-07-2025;
7;device_6;192.168.1.18;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966406;12-20 08-07-2025;
8;device_7;192.168.1.21;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966406;12-20 08-07-2025;
9;device_8;192.168.1.22;00-90-e8-63-de-5c;-;-;0;1;-;-;;;-;1609459200;1751966407;12-20 08-07-2025;
10;device_9;192.168.1.23;-;-;-;0;1;-;-;;;-;1609459200;1751916427;22-27 07-07-2025;
11;device_10;192.168.1.29;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966409;12-20 08-07-2025;
12;00.03.01;192.168.1.32;MAC address not found;-;-;0;1;-;-;KPP3-OUT;;-;1609459200;1751966409;12-20 08-07-2025;
13;00.03.02;192.168.1.33;MAC address not found;-;-;0;1;-;-;KPP3-IN;;-;1609459200;1751966409;12-20 08-07-2025;
14;device_13;192.168.1.34;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966409;12-20 08-07-2025;
15;00.01.06;192.168.1.37;MAC address not found;-;-;0;1;KPP1_CAM_4;-;КПП1 Шлюз;;-;1609459200;1751966409;12-20 08-07-2025;
16;device_15;192.168.1.57;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966410;12-20 08-07-2025;
17;device_16;192.168.1.61;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966410;12-20 08-07-2025;
18;device_17;192.168.1.63;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966410;12-20 08-07-2025;
19;device_18;192.168.1.82;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966411;12-20 08-07-2025;
20;device_19;192.168.1.84;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966411;12-20 08-07-2025;
21;device_20;192.168.1.85;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966411;12-20 08-07-2025;
22;device_21;192.168.1.86;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966411;12-20 08-07-2025;
23;device_22;192.168.1.87;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966411;12-20 08-07-2025;
24;device_23;192.168.1.88;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966412;12-20 08-07-2025;
25;device_24;192.168.1.95;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966412;12-20 08-07-2025;
26;device_25;192.168.1.96;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966412;12-20 08-07-2025;
27;"00.01.01
";192.168.1.100;MAC address not found;-;-;0;1;-;-;КПП-1 Въезд;;-;1609459200;1751966412;12-20 08-07-2025;
28;"00.01.02
";192.168.1.101;MAC address not found;-;-;0;1;-;-;KPP-1-Exit;;-;1609459200;1751966412;12-20 08-07-2025;
29;00.05.03;192.168.1.110;MAC address not found;-;-;0;1;KPP5_IN;-;КПП-5;;-;1609459200;1751966412;12-20 08-07-2025;
30;"00.01.03
";192.168.1.111;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966413;12-20 08-07-2025;
31;device_30;192.168.1.112;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966413;12-20 08-07-2025;
32;00.01.04;192.168.1.114;MAC address not found;-;-;0;1;-;-;KPP-1 CAM02;;-;1609459200;1751966413;12-20 08-07-2025;
33;device_32;192.168.1.115;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966413;12-20 08-07-2025;
34;device_33;192.168.1.175;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966413;12-20 08-07-2025;
35;device_34;192.168.1.185;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966414;12-20 08-07-2025;
36;device_35;192.168.1.232;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966414;12-20 08-07-2025;
37;device_36;192.168.200.1;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966414;12-20 08-07-2025;
38;device_37;192.168.200.2;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966414;12-20 08-07-2025;
39;device_38;192.168.200.3;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966415;12-20 08-07-2025;
40;device_39;192.168.200.4;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966415;12-20 08-07-2025;
41;"01.06.04
";192.168.200.10;MAC address not found;-;-;0;1;;-;Лесная Тенистая 1;1.6 Cam-4;-;1609459200;1751966415;12-20 08-07-2025;
42;device_41;192.168.200.11;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966415;12-20 08-07-2025;
43;device_42;192.168.200.12;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966415;12-20 08-07-2025;
44;device_43;192.168.200.13;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
45;device_44;192.168.200.14;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
46;device_45;192.168.200.15;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
47;device_46;192.168.200.16;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
48;device_47;192.168.200.18;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
49;device_48;192.168.200.20;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966416;12-20 08-07-2025;
50;01.06.01;192.168.200.21;MAC address not found;-;-;0;1;Solnechnaya Vishnev;-;Лесная Тенистая 1;1.6 Cam-1;-;1609459200;1751966417;12-20 08-07-2025;
51;01.06.02;192.168.200.22;MAC address not found;-;-;0;1;Lesnaya Tenistaya;-;Лесная Тенистая 1;1.6 Cam-2;-;1609459200;1751966417;12-20 08-07-2025;
52;device_51;192.168.200.23;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966417;12-20 08-07-2025;
53;device_52;192.168.200.24;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966417;12-20 08-07-2025;
54;device_53;192.168.200.25;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966417;12-20 08-07-2025;
55;device_54;192.168.200.26;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966417;12-20 08-07-2025;
56;device_55;192.168.200.27;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966418;12-20 08-07-2025;
57;device_56;192.168.200.28;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966418;12-20 08-07-2025;
58;device_57;192.168.200.29;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966418;12-20 08-07-2025;
59;device_58;192.168.200.30;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966418;12-20 08-07-2025;
60;device_59;192.168.200.31;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966418;12-20 08-07-2025;
61;device_60;192.168.200.32;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
62;device_61;192.168.200.33;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
