ip,id,name_en,name,neme_ant
192.168.1.100,00.01.01,KPP1_UNV1,КПП-1 (1.0),КПП-1 Въезд
192.168.1.101,00.01.02,KPP1_UNV2,КПП-1 (1.0),KPP-1-Exit
192.168.1.111,00.01.03,KPP1_CAM_3,КПП-1 (1.0),KPP-1 CAM01
192.168.1.114,00.01.04,,,KPP-1 CAM02
192.168.1.32,00.03.01,,,KPP3-OUT
192.168.1.33,00.03.02,KPP3-PASS24-IN,КПП-3,KPP3-IN
192.168.200.121,00.01.05,KPP1-EntryPoint,КПП-1,KPP1-EntryPoint
192.168.200.125,00.09.01,Спорт двор,Спорт двор,IPdome
192.168.200.233,00.09.02,Спорт двор Camera с4-2,Спорт двор,Camera c4-2
192.168.200.236,00.09.03,Спорт двор Camera ТР1-1,Спорт двор,Camera TP1-1
192.168.200.237,00.09.04,Спорт двор 1,Спорт двор,Camera TP1-1
192.168.200.238,00.09.05,Спорт двор Camera cl-1,Спорт двор,IPCamera 03
192.168.200.239,00.09.06,Спорт двор_Сатега сЗ-1,Спорт двор,Camera c3-1
192.168.200.240,00.09.07,Спорт двор Camera с4-1,Спорт двор,Camera c4-1
192.168.200.241,00.09.08,Спорт двор Replace 8-3,Спорт двор, Replace 8-3
192.168.200.242,00.09.09,Спорт двор Camera ТР2-1,Спорт двор,Camera TP2-1
192.168.200.243,00.09.10,Спорт двор Camera cl-2,Спорт двор,Camera c1-2
192.168.200.244,00.09.11,Спорт двор Camera с8-1,Спорт двор,Camera c8-1
192.168.200.245,00.09.12,Спорт двор Camera С7-2,Спорт двор,Channel 2
192.168.200.246,00.09.13,Спорт двор Camera с4-2.,Спорт двор,Camera c4-2
192.168.200.247,00.09.14,Спорт двор Camera с8-2,Спорт двор,Camera c8-2
192.168.200.248,00.09.15,Спорт двор Camera с2-2,Спорт двор,Camera c2-2
192.168.200.249,00.09.16,Спорт двор Camera с7-1,Спорт двор,Camera c7-1
192.168.200.250,00.09.17,Спорт двор Camera сЗ-2,Спорт двор,Camera c3-2
192.168.200.251,00.09.18,Спорт двор Camera ТР2-2,Спорт двор,Camera TP2-2
192.168.200.252,00.09.19,Спорт двор Camera с2-1,Спорт двор,Camera c2-1
192.168.200.253,00.09.20,Спорт двор Camera с5-2,Спорт двор,Camera c5-2
192.168.200.254,00.09.21,Спорт двор Camera с5-1,Спорт двор,Camera c5-1
192.168.1.110,00.05.03,KPP5IN,КПП-5,KPP5
192.168.1.37,00.01.06,KPP1_CAM_4,КПП-1 {1.0),КПП1 Шлюз
